"No.","Time","Source","Destination","Protocol","Length","Info"
"529","4.807615982","206.123.170.175","128.135.24.73","TCP","74","41816  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=278075566 TSecr=0 WS=128"
"533","4.867856583","128.135.24.73","206.123.170.175","TCP","66","443  >  41816 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"534","4.867912104","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"535","4.868578426","206.123.170.175","128.135.24.73","TLSv1.2","1783","Client Hello"
"537","4.929575484","128.135.24.73","206.123.170.175","TCP","60","443  >  41816 [ACK] Seq=1 Ack=1730 Win=63616 Len=0"
"538","4.931607484","128.135.24.73","206.123.170.175","TLSv1.2","2421","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"539","4.931641165","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=1730 Ack=2368 Win=63488 Len=0"
"542","4.936903844","206.123.170.175","128.135.24.73","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"543","4.937104962","206.123.170.175","128.135.24.73","TLSv1.2","153","Application Data"
"544","4.937292478","206.123.170.175","128.135.24.73","TLSv1.2","1087","Application Data"
"550","4.996814897","128.135.24.73","206.123.170.175","TCP","60","443  >  41816 [ACK] Seq=2368 Ack=1922 Win=64128 Len=0"
"551","4.997658744","128.135.24.73","206.123.170.175","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"552","4.997659171","128.135.24.73","206.123.170.175","TLSv1.2","223","Application Data"
"553","4.997659243","128.135.24.73","206.123.170.175","TLSv1.2","270","Application Data"
"554","4.997869023","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=2955 Ack=3027 Win=64128 Len=0"
"555","4.998413832","206.123.170.175","128.135.24.73","TLSv1.2","92","Application Data"
"566","5.101228622","128.135.24.73","206.123.170.175","TCP","60","443  >  41816 [ACK] Seq=3027 Ack=2993 Win=64128 Len=0"
"573","5.146412653","206.123.170.175","128.135.24.73","TLSv1.2","128","Application Data"
"580","5.206076377","128.135.24.73","206.123.170.175","TCP","60","443  >  41816 [ACK] Seq=3027 Ack=3067 Win=64128 Len=0"
"625","5.731481003","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=3027 Ack=3067 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"626","5.731481321","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=5947 Ack=3067 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"627","5.731481374","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=8867 Ack=3067 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"628","5.731481429","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=11787 Ack=3067 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"629","5.731545470","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=14707 Ack=3067 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"630","5.731737258","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=3067 Ack=17627 Win=64128 Len=0"
"633","5.791251342","128.135.24.73","206.123.170.175","TLSv1.2","2974","[TCP Previous segment not captured] , Ignored Unknown Record"
"634","5.791251759","128.135.24.73","206.123.170.175","TCP","2974","[TCP Out-Of-Order] 443  >  41816 [PSH, ACK] Seq=17627 Ack=3067 Win=64128 Len=2920"
"635","5.791251810","128.135.24.73","206.123.170.175","TLSv1.2","2974","Ignored Unknown Record"
"636","5.791251863","128.135.24.73","206.123.170.175","TLSv1.2","1514","Ignored Unknown Record"
"637","5.791299915","206.123.170.175","128.135.24.73","TCP","66","[TCP Dup ACK 630#1] 41816  >  443 [ACK] Seq=3067 Ack=17627 Win=64128 Len=0 SLE=20547 SRE=23467"
"638","5.791319428","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=3067 Ack=23467 Win=61568 Len=0"
"639","5.791405708","128.135.24.73","206.123.170.175","TLSv1.2","1514","Ignored Unknown Record"
"640","5.791405777","128.135.24.73","206.123.170.175","TLSv1.2","2974","Ignored Unknown Record"
"641","5.791405831","128.135.24.73","206.123.170.175","TLSv1.2","2974","Ignored Unknown Record"
"642","5.791405883","128.135.24.73","206.123.170.175","TLSv1.2","610","Ignored Unknown Record"
"643","5.791412092","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=3067 Ack=27847 Win=64128 Len=0"
"644","5.791802240","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=3067 Ack=35703 Win=64128 Len=0"
"656","5.914236410","206.123.170.175","128.135.24.73","TLSv1.2","233","Application Data"
"657","5.916404368","206.123.170.175","128.135.24.73","TLSv1.2","163","Application Data"
"663","5.923957201","206.123.170.175","128.135.24.73","TLSv1.2","160","Application Data"
"664","5.924044568","206.123.170.175","128.135.24.73","TLSv1.2","267","Application Data, Application Data"
"665","5.924072423","206.123.170.175","128.135.24.73","TLSv1.2","169","Application Data"
"666","5.924117902","206.123.170.175","128.135.24.73","TLSv1.2","302","Application Data, Application Data"
"667","5.924296260","206.123.170.175","128.135.24.73","TLSv1.2","371","Application Data, Application Data, Application Data"
"669","5.924506649","206.123.170.175","128.135.24.73","TLSv1.2","328","Application Data, Application Data"
"698","5.973653503","128.135.24.73","206.123.170.175","TCP","60","443  >  41816 [ACK] Seq=35703 Ack=3246 Win=64128 Len=0"
"699","5.974045976","128.135.24.73","206.123.170.175","TLSv1.2","315","Application Data"
"700","5.976319602","128.135.24.73","206.123.170.175","TLSv1.2","282","Application Data"
"701","5.978738920","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=36192 Win=64128 Len=0"
"702","5.983404192","128.135.24.73","206.123.170.175","TCP","60","443  >  41816 [ACK] Seq=36192 Ack=4037 Win=64128 Len=0"
"703","5.983702693","128.135.24.73","206.123.170.175","TLSv1.2","646","Application Data"
"704","5.984993234","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=36784 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"705","5.985014816","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=38244 Win=64128 Len=0"
"706","5.985064695","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=38244 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"707","5.985064765","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=39704 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"708","5.985064835","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=42624 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"709","5.985112823","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=44084 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"710","5.985112883","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=45544 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
